Abra Pampa, 3645, Y, 11, AR, -22.72049000, -65.69697000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q55386
Achiras, 3642, X, 11, AR, -33.17538000, -64.99331000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q8187413
Adelia María, 3642, X, 11, AR, -33.63152000, -64.02097000, 2019-10-05 23:58:12, 2020-05-01 18:52:33, 1, Q5682817
Agua de Oro, 3642, X, 11, AR, -31.06661000, -64.30017000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2215108
Aguilares, 3637, T, 11, AR, -27.43380000, -65.61427000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q398365
Alba Posse, 3644, N, 11, AR, -27.56978000, -54.68262000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2830746
Albardón, 3634, J, 11, AR, -31.43722000, -68.52556000, 2019-10-05 23:58:12, 2020-05-01 18:52:33, 1, Q1190205
Aldea San Antonio, 3654, E, 11, AR, -32.62317000, -58.70512000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q4713475
Alderetes, 3637, T, 11, AR, -26.81667000, -65.13333000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2456137
Alejandro Roca, 3642, X, 11, AR, -33.35369000, -63.71849000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q8194200
Alejo Ledesma, 3642, X, 11, AR, -33.60643000, -62.62304000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q8194316
Allen, 3639, R, 11, AR, -38.97736000, -67.82714000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q21848444
Almafuerte, 3644, N, 11, AR, -27.50825000, -55.40258000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q4733652
Almafuerte, 3642, X, 11, AR, -32.19296000, -64.25559000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q1935889
Alpachiri, 3655, L, 11, AR, -37.37704000, -63.77445000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q4734750
Alta Gracia, 3642, X, 11, AR, -31.65292000, -64.42826000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q48293
Alta Italia, 3655, L, 11, AR, -35.33350000, -64.11496000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q4735983
Alto Río Senguer, 3651, U, 11, AR, -45.04105000, -70.81982000, 2019-10-05 23:58:12, 2020-05-01 18:52:33, 1, Q178740
Altos de Chipión, 3642, X, 11, AR, -30.95590000, -62.33727000, 2019-10-05 23:58:12, 2020-05-01 18:52:33, 1, Q3613347
Aluminé, 3648, Q, 11, AR, -39.23686000, -70.91970000, 2019-10-05 23:58:12, 2020-05-01 18:52:33, 1, Q447844
Alvear, 3638, W, 11, AR, -29.09683000, -56.55043000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2658439
Ancasti, 3647, K, 11, AR, -28.81247000, -65.50145000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q21845580
Andacollo, 3648, Q, 11, AR, -37.17945000, -70.66912000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2358842
Andalgalá, 3647, K, 11, AR, -27.58185000, -66.31626000, 2019-10-05 23:58:12, 2020-05-01 18:52:33, 1, Q489679
Anguil, 3655, L, 11, AR, -36.52567000, -64.01025000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q937524
Antofagasta de la Sierra, 3647, K, 11, AR, -26.05940000, -67.40636000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2536371
Apolinario Saravia, 3643, A, 11, AR, -24.43276000, -63.99535000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q4780228
Aranguren, 3654, E, 11, AR, -32.24252000, -60.16107000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q4784111
Arata, 3655, L, 11, AR, -35.63895000, -64.35621000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q933365
Arauco, 3653, F, 11, AR, -28.58071000, -66.79250000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q4784463
Arias, 3642, X, 11, AR, -33.64411000, -62.40272000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2693020
Aristóbulo del Valle, 3644, N, 11, AR, -27.09625000, -54.89626000, 2019-10-05 23:58:12, 2020-05-01 18:52:33, 1, Q2861426
Armstrong, 3641, S, 11, AR, -32.78215000, -61.60222000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2397804
Arroyito, 3642, X, 11, AR, -31.42022000, -63.05002000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q671062
Arroyo Cabral, 3642, X, 11, AR, -32.49119000, -63.40126000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q21845813
Arroyo Seco, 3641, S, 11, AR, -33.15489000, -60.50863000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q974987
Arroyo del Medio, 3644, N, 11, AR, -27.69748000, -55.40376000, 2019-10-05 23:58:12, 2019-10-05 23:58:12, 1, Q2242988
Arrufó, 3641, S, 11, AR, -30.23281000, -61.72862000, 2019-10-05 23:58:12, 2020-05-01 18:52:33, 1, Q8205105
Avellaneda, 3641, S, 11, AR, -29.11761000, -59.65834000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q932398
Aviá Terai, 3640, H, 11, AR, -26.68532000, -60.72920000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q528399
Azara, 3644, N, 11, AR, -28.06160000, -55.67797000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q5243541
Añatuya, 3635, G, 11, AR, -28.46064000, -62.83472000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q794668
Añelo, 3648, Q, 11, AR, -38.35441000, -68.78840000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q794673
Balnearia, 3642, X, 11, AR, -31.00880000, -62.66733000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q8240830
Balvanera, 3656, B, 11, AR, -34.61032000, -58.39766000, 2019-10-05 23:58:13, 2020-08-15 22:18:41, 1, Q805848
Barracas, 3656, B, 11, AR, -34.64966000, -58.38341000, 2019-10-05 23:58:13, 2020-08-15 22:18:43, 1, Q680964
Barrancas, 3648, Q, 11, AR, -36.82344000, -69.91564000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q4863233
Barranqueras, 3640, H, 11, AR, -27.48132000, -58.93925000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q2885504
Basail, 3640, H, 11, AR, -27.88539000, -59.28245000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q1578997
Belgrano, 3656, B, 11, AR, -34.56270000, -58.45829000, 2019-10-05 23:58:13, 2020-08-15 22:18:53, 1, Q815569
Bell Ville, 3642, X, 11, AR, -32.62591000, -62.68873000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q284308
Bella Italia, 3641, S, 11, AR, -31.28182000, -61.41092000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q5725165
Bella Vista, 3637, T, 11, AR, -27.03424000, -65.30196000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q815781
Beltrán, 3635, G, 11, AR, -27.82913000, -64.06098000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q4884800
Bernardo Larroudé, 3655, L, 11, AR, -35.02449000, -63.58253000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q584726
Bernardo de Irigoyen, 3644, N, 11, AR, -26.25520000, -53.64581000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q823073
Bernasconi, 3655, L, 11, AR, -37.90459000, -63.74240000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q530248
Berrotarán, 3642, X, 11, AR, -32.45100000, -64.38867000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q8247020
Berón de Astrada, 3638, W, 11, AR, -27.55067000, -57.53460000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q55856
Boedo, 3656, B, 11, AR, -34.63333000, -58.41667000, 2019-10-05 23:58:13, 2020-08-15 22:18:55, 1, Q890147
Bonpland, 3638, W, 11, AR, -29.81708000, -57.42974000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q4942564
Bonpland, 3644, N, 11, AR, -27.48218000, -55.47756000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q21828961
Bovril, 3654, E, 11, AR, -31.34311000, -59.44512000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q2626346
Brinkmann, 3642, X, 11, AR, -30.86589000, -62.03742000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q17297395
Buchardo, 3642, X, 11, AR, -34.72263000, -63.50920000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q8253269
Buena Esperanza, 3636, D, 11, AR, -34.75647000, -65.25379000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q786129
Buenos Aires, 3656, B, 11, AR, -34.61315000, -58.37723000, 2019-10-05 23:58:13, 2020-08-15 22:18:57, 1, Q1486
Burruyacú, 3637, T, 11, AR, -26.49918000, -64.74206000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q386975
Buta Ranquil, 3648, Q, 11, AR, -37.05222000, -69.87713000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q630891
Cachí, 3643, A, 11, AR, -25.12033000, -66.16519000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q520684
Cafayate, 3643, A, 11, AR, -26.08333000, -65.83333000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q1190297
Caimancito, 3645, Y, 11, AR, -23.74069000, -64.59370000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q1749213
Calchaquí, 3641, S, 11, AR, -29.88767000, -60.28697000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q1955294
Caleta Olivia, 3649, Z, 11, AR, -46.43929000, -67.52814000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q1026633
Caleufú, 3655, L, 11, AR, -35.59559000, -64.55778000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q590236
Calilegua, 3645, Y, 11, AR, -23.77368000, -64.77002000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q1749231
Calingasta, 3634, J, 11, AR, -31.33394000, -69.42080000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q21843829
Camarones, 3651, U, 11, AR, -44.79709000, -65.70994000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q972040
Camilo Aldao, 3642, X, 11, AR, -33.12745000, -62.09453000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q2128078
Campo Gallo, 3635, G, 11, AR, -26.58333000, -62.85000000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q761980
Campo Grande, 3644, N, 11, AR, -27.20770000, -54.97977000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q588681
Campo Largo, 3640, H, 11, AR, -26.80077000, -60.84215000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q21843910
Campo Quijano, 3643, A, 11, AR, -24.90982000, -65.63656000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q2553556
Campo Ramón, 3644, N, 11, AR, -27.45490000, -55.02122000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q2918968
Campo Viera, 3644, N, 11, AR, -27.33271000, -55.05651000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q5028465
Canals, 3642, X, 11, AR, -33.56542000, -62.88927000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q2594504
Candelaria, 3644, N, 11, AR, -27.45950000, -55.74536000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q21829077
Candelaria, 3636, D, 11, AR, -32.06036000, -65.82477000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q5031647
Capayán, 3647, K, 11, AR, -28.77436000, -66.04749000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q21844014
Capilla del Monte, 3642, X, 11, AR, -30.86088000, -64.52515000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q1020576
Capioví, 3644, N, 11, AR, -26.92998000, -55.06084000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q5035413
Capitán Bermúdez, 3641, S, 11, AR, -32.82262000, -60.71852000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q1620664
Capitán Solari, 3640, H, 11, AR, -26.80215000, -59.56089000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q1579019
Caraguatay, 3644, N, 11, AR, -26.60587000, -54.78093000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q5037636
Carcarañá, 3641, S, 11, AR, -32.85679000, -61.15331000, 2019-10-05 23:58:13, 2020-05-01 18:52:33, 1, Q3658334
Carnerillo, 3642, X, 11, AR, -32.91371000, -64.02175000, 2019-10-05 23:58:13, 2019-10-05 23:58:13, 1, Q8338730
Carrilobo, 3642, X, 11, AR, -31.87296000, -63.11715000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q8341370
Caseros, 3654, E, 11, AR, -32.46325000, -58.47872000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5048424
Casilda, 3641, S, 11, AR, -33.04417000, -61.16806000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q2097797
Castelli, 3640, H, 11, AR, -25.94679000, -60.61947000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q568624
Castro Barros, 3653, F, 11, AR, -30.57952000, -65.72696000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5050786
Catriel, 3639, R, 11, AR, -37.87907000, -67.79560000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q3663629
Catriló, 3655, L, 11, AR, -36.40597000, -63.42168000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q600897
Caucete, 3634, J, 11, AR, -31.65179000, -68.28105000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q2498538
Cavanagh, 3642, X, 11, AR, -33.47606000, -62.33888000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q8342984
Cañada de Gómez, 3641, S, 11, AR, -32.81636000, -61.39493000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q971555
Cañada de Luque, 3642, X, 11, AR, -30.73341000, -63.72375000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q8343231
Ceibas, 3654, E, 11, AR, -33.43333000, -58.75000000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5057355
Centenario, 3648, Q, 11, AR, -38.82955000, -68.13180000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q2233683
Ceres, 3641, S, 11, AR, -29.88100000, -61.94504000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q2544458
Cerro Azul, 3644, N, 11, AR, -27.63310000, -55.49620000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5064858
Cerro Corá, 3644, N, 11, AR, -27.51310000, -55.60896000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q5064903
Cervantes, 3639, R, 11, AR, -39.05444000, -67.39426000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5065312
Chajarí, 3654, E, 11, AR, -30.75048000, -57.97962000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q2654603
Chamical, 3653, F, 11, AR, -30.36002000, -66.31399000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q2779417
Charadai, 3640, H, 11, AR, -27.65503000, -59.86291000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1578855
Charata, 3640, H, 11, AR, -27.21438000, -61.18795000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1578300
Charras, 3642, X, 11, AR, -33.02400000, -64.04719000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q21844653
Chavarría, 3638, W, 11, AR, -28.95489000, -58.57277000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q5088475
Chazón, 3642, X, 11, AR, -33.07872000, -63.27657000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q8345116
Chañar Ladeado, 3641, S, 11, AR, -33.32524000, -62.03831000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q2518584
Chichinales, 3639, R, 11, AR, -39.11505000, -66.92714000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5096059
Chicoana, 3643, A, 11, AR, -25.10502000, -65.53473000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1016092
Chilecito, 3653, F, 11, AR, -29.16195000, -67.49740000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1072833
Chimbas, 3634, J, 11, AR, -31.48333000, -68.53333000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1072833
Chimpay, 3639, R, 11, AR, -39.16482000, -66.14236000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q4520581
Choele Choel, 3639, R, 11, AR, -39.28941000, -65.66060000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q52522
Chorotis, 3640, H, 11, AR, -27.91578000, -61.39982000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1579594
Chos Malal, 3648, Q, 11, AR, -37.37809000, -70.27085000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q288993
Ciervo Petiso, 3640, H, 11, AR, -26.58041000, -59.63094000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5119715
Cinco Saltos, 3639, R, 11, AR, -38.82225000, -68.06293000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q2933923
Cintra, 3642, X, 11, AR, -32.30673000, -62.65214000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q21842797
Cipolletti, 3639, R, 11, AR, -38.93392000, -67.99032000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1014306
Clodomira, 3635, G, 11, AR, -27.57440000, -64.13108000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q3680889
Clorinda, 3652, P, 11, AR, -25.28481000, -57.71851000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q106063
Colegiales, 3656, B, 11, AR, -34.57365000, -58.44924000, 2019-10-05 23:58:14, 2020-08-15 22:18:58, 1, Q106063
Colonia Aurora, 3644, N, 11, AR, -27.47428000, -54.52498000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q908300
Colonia Barón, 3655, L, 11, AR, -36.15152000, -63.85404000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q5148214
Colonia Benítez, 3640, H, 11, AR, -27.33099000, -58.94622000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q1579162
Colonia Dora, 3635, G, 11, AR, -28.60000000, -62.95000000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5148225
Colonia Elisa, 3640, H, 11, AR, -26.93041000, -59.51861000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1579265
Colonia Elía, 3654, E, 11, AR, -32.67144000, -58.32538000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q385453
Colonia La Tordilla, 3642, X, 11, AR, -31.23746000, -63.06134000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q21842946
Colonia San Bartolomé, 3642, X, 11, AR, -31.52780000, -62.72436000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q5777842
Colonias Unidas, 3640, H, 11, AR, -26.69825000, -59.63154000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1579067
Colón, 3654, E, 11, AR, -32.22312000, -58.14426000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q52591
Comallo, 3639, R, 11, AR, -41.02993000, -70.26784000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1954924
Comandante Fontana, 3652, P, 11, AR, -25.33453000, -59.68212000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q106069
Comandante Luis Piedra Buena, 3649, Z, 11, AR, -49.98513000, -68.91467000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q962170
Comodoro Rivadavia, 3651, U, 11, AR, -45.86413000, -67.49656000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q221921
Concarán, 3636, D, 11, AR, -32.56009000, -65.24270000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q1018588
Concepción, 3638, W, 11, AR, -28.39175000, -57.88777000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q1016869
Concepción de la Sierra, 3644, N, 11, AR, -27.98311000, -55.52031000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q2991642
Concepción del Bermejo, 3640, H, 11, AR, -26.59926000, -60.94617000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q785491
Concepción del Uruguay, 3654, E, 11, AR, -32.48463000, -58.23217000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q727464
Concordia, 3654, E, 11, AR, -31.39296000, -58.02089000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q52578
Conscripto Bernardi, 3654, E, 11, AR, -31.04837000, -59.08435000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q8349932
Contraalmirante Cordero, 3639, R, 11, AR, -38.72423000, -68.15284000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q21841285
Coronda, 3641, S, 11, AR, -31.97263000, -60.91983000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q52542
Coronel Baigorria, 3642, X, 11, AR, -32.84770000, -64.36107000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q8351097
Coronel Belisle, 3639, R, 11, AR, -39.18688000, -65.95422000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q2884472
Coronel Du Graty, 3640, H, 11, AR, -27.68038000, -60.91462000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1657891
Coronel Moldes, 3642, X, 11, AR, -33.62270000, -64.59711000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q21841360
Corral de Bustos, 3642, X, 11, AR, -33.28205000, -62.18463000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5172720
Corralito, 3642, X, 11, AR, -32.02462000, -64.19216000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q21841392
Corrientes, 3638, W, 11, AR, -27.46784000, -58.83440000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q44211
Corzuela, 3640, H, 11, AR, -26.95374000, -60.96928000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1135953
Cosquín, 3642, X, 11, AR, -31.24508000, -64.46563000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q48290
Costa Sacate, 3642, X, 11, AR, -31.64770000, -63.75935000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5574326
Coté-Lai, 3640, H, 11, AR, -27.50000000, -59.60000000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q21829400
Crespo, 3654, E, 11, AR, -32.02873000, -60.30658000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q2486561
Cruz Alta, 3642, X, 11, AR, -33.00887000, -61.80746000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q21841539
Cruz de los Milagros, 3638, W, 11, AR, -28.83646000, -59.00476000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q21829416
Cruz del Eje, 3642, X, 11, AR, -30.72644000, -64.80387000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1016873
Cuesta Blanca, 3642, X, 11, AR, -31.48658000, -64.57150000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q637219
Curuzú Cuatiá, 3638, W, 11, AR, -29.79171000, -58.05460000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q2364886
Cutral-Có, 3648, Q, 11, AR, -38.93424000, -69.23052000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q970536
Córdoba, 3642, X, 11, AR, -31.41350000, -64.18105000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q44210
Dalmacio Vélez Sársfield, 3642, X, 11, AR, -32.61072000, -63.58038000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q21841723
Darwin, 3639, R, 11, AR, -39.20334000, -65.73952000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q5225916
Del Campillo, 3642, X, 11, AR, -34.37659000, -64.49504000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q8354470
Departamento Capital, 3643, A, 11, AR, -24.83333000, -65.33333000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1190331
Departamento de Aguirre, 3635, G, 11, AR, -29.33333000, -62.50000000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1190331
Departamento de Albardón, 3634, J, 11, AR, -31.28333000, -68.41667000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q1190331
Departamento de Almirante Brown, 3640, H, 11, AR, -25.81662000, -61.45576000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1190331
Departamento de Aluminé, 3648, Q, 11, AR, -39.16667000, -71.00000000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q1190331
Departamento de Ambato, 3647, K, 11, AR, -28.00000000, -65.91667000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q688734
Departamento de Ancasti, 3647, K, 11, AR, -29.00000000, -65.50000000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q760261
Departamento de Andalgalá, 3647, K, 11, AR, -27.58333000, -66.46667000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q1190227
Departamento de Angaco, 3634, J, 11, AR, -31.20000000, -68.13333000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q537390
Departamento de Anta, 3643, A, 11, AR, -24.91667000, -64.00000000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1190229
Departamento de Antofagasta de la Sierra, 3647, K, 11, AR, -26.00000000, -67.58333000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1190229
Departamento de Apóstoles, 3644, N, 11, AR, -27.91667000, -55.75000000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q1190229
Departamento de Arauco, 3653, F, 11, AR, -28.50000000, -66.83333000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q782464
Departamento de Avellaneda, 3639, R, 11, AR, -39.50000000, -66.50000000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1190249
Departamento de Añelo, 3648, Q, 11, AR, -38.16667000, -69.00000000, 2019-10-05 23:58:14, 2020-05-01 18:52:33, 1, Q1190264
Departamento de Banda, 3635, G, 11, AR, -27.50000000, -64.33333000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1190264
Departamento de Belgrano, 3641, S, 11, AR, -32.50000000, -61.75000000, 2019-10-05 23:58:14, 2019-10-05 23:58:14, 1, Q1190264
